disease,disease_class,detector,sustained_alerts_total,sustained_alerts_outside_window,n_years_covered,alerts_per_year
鳥インフルエンザ,sentinel/その他,D_rare,0,0,13,0.0
鳥インフルエンザ,sentinel/その他,D_stat,0,0,13,0.0
鳥インフルエンザ,sentinel/その他,D_growth,0,0,13,0.0
鳥インフルエンザ,sentinel/その他,D_spatial,0,0,13,0.0
鳥インフルエンザ,sentinel/その他,combined,0,0,13,0.0
鳥インフルエンザ（H5N1),sentinel/その他,D_rare,0,0,13,0.0
鳥インフルエンザ（H5N1),sentinel/その他,D_stat,0,0,13,0.0
鳥インフルエンザ（H5N1),sentinel/その他,D_growth,0,0,13,0.0
鳥インフルエンザ（H5N1),sentinel/その他,D_spatial,0,0,13,0.0
鳥インフルエンザ（H5N1),sentinel/その他,combined,0,0,13,0.0
鳥インフルエンザ（H7N9),sentinel/その他,D_rare,0,0,13,0.0
鳥インフルエンザ（H7N9),sentinel/その他,D_stat,0,0,13,0.0
鳥インフルエンザ（H7N9),sentinel/その他,D_growth,0,0,13,0.0
鳥インフルエンザ（H7N9),sentinel/その他,D_spatial,0,0,13,0.0
鳥インフルエンザ（H7N9),sentinel/その他,combined,0,0,13,0.0
麻しん,全数把握,D_rare,17,14,13,1.077
麻しん,全数把握,D_stat,0,0,13,0.0
麻しん,全数把握,D_growth,1,1,13,0.077
麻しん,全数把握,D_spatial,7,5,13,0.385
麻しん,全数把握,combined,18,15,13,1.154
黄熱,全数把握,D_rare,0,0,13,0.0
黄熱,全数把握,D_stat,0,0,13,0.0
黄熱,全数把握,D_growth,0,0,13,0.0
黄熱,全数把握,D_spatial,0,0,13,0.0
黄熱,全数把握,combined,0,0,13,0.0
鼻疽,全数把握,D_rare,0,0,13,0.0
鼻疽,全数把握,D_stat,0,0,13,0.0
鼻疽,全数把握,D_growth,0,0,13,0.0
鼻疽,全数把握,D_spatial,0,0,13,0.0
鼻疽,全数把握,combined,0,0,13,0.0
Ａ型肝炎,全数把握,D_rare,39,39,13,3.0
Ａ型肝炎,全数把握,D_stat,3,3,13,0.231
Ａ型肝炎,全数把握,D_growth,0,0,13,0.0
Ａ型肝炎,全数把握,D_spatial,0,0,13,0.0
Ａ型肝炎,全数把握,combined,39,39,13,3.0
レンサ球菌咽頭炎,sentinel/その他,D_rare,0,0,13,0.0
